Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2003,13110,8445.336
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2004,19263.91,11764.913
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2005,18811.274,11685.271
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2006,18258.215,11736.528
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2007,15496.594,11939.408
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2008,28778.265,12517.942
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2009,13331.79,11689.508
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2010,36475.562,13330.004
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2011,25095.283,12744.13
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2012,49868.88,12419.369
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2013,73358.423,13206.044
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2014,83816.234,13722.294
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2015,82599.431,13800.172
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2016,60561.333,14189.394
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2017,70518.308,13020.025
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2018,59263.172,13369.714
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2019,65570.02,14143.889
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020,59480.461,15702.129
