Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Combined Heat and Power (CHP),2015,,
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Combined Heat and Power (CHP),2016,,
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Combined Heat and Power (CHP),2017,,
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Combined Heat and Power (CHP),2018,,
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Combined Heat and Power (CHP),2019,,
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Combined Heat and Power (CHP),2020,,
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Combined Heat and Power (CHP),2021,,
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Combined Heat and Power (CHP),2022,,
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2000,2129498,321055
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2001,1982120,315097.74
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2002,2039665,316199.98
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2003,2083326,313878.78
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2004,2090495,314025.23
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2005,2153956,314283.13
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2006,2127796,313872.17
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2007,2118455,313640.7
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2008,2132596,314230.7
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2009,1892661,315130
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2010,1994194,317737
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2011,1875413,318581
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2012,1643430,310498.1
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2013,1712408,304128.1
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2014,1712577,299909.4
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2015,1470997,280773.5
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2016,1354034,267615
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2017,1321419,257473.4
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2018,1272150,243711.7
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2019,1069528,229575.5
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2020,855770,216472.3
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2021,991561,210604.8
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2022,913302,190027.3
USA,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2023,,181466.9
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,All types,2015,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2000,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2001,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2002,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2003,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2004,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2005,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2006,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2007,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2008,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2009,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2010,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2011,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2012,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2013,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2014,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2015,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2016,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2017,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2018,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2019,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2020,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2021,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Combined Heat and Power (CHP),2022,,
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2000,634290,243241
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2001,659914,233813.31
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2002,712432,313740.14
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2003,670192,356625.91
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2004,731552,372102.01
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2005,782829,383885.29
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2006,842774,389387.21
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2007,915196,393901.5
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2008,910176,398269.8
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2009,949776,402026.8
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2010,1017869,406875.8
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2011,1045254,416184.8
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2012,1264552,423492.3
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2013,1158454,426675.7
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2014,1161333,433249.4
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2015,1372570,440872.2
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2016,1418100,448285
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2017,1337703,457461.3
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2018,1519217,471854.7
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2019,1639826,478148.5
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020,1680143,487164.3
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021,1634089,492979.1
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022,1740421,503414.1
USA,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2023,,508345.8
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2000,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2001,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2002,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2003,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2004,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2005,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2006,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2007,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2008,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2009,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2010,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2011,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2012,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2013,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2014,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2015,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2016,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2017,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2018,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2019,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2020,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2021,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,Combined Heat and Power (CHP),2022,,
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2000,118482,61837
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2001,129557,66085.94
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2002,106138,59583.39
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2003,137015,60679.76
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2004,139089,59118.92
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2005,141290,58547.52
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2006,78621,58097.16
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2007,78136,56067.5
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2008,57776,57444.5
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2009,50445,56780.5
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2010,48086,55646.9
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2011,39524,51481.6
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2012,33070,47167.2
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2013,36858,43523
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2014,39877,41135.4
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2015,38837,36830.3
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2016,34759,34382.4
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2017,32410,33306.7
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2018,42930,32218.2
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2019,35791,31400.3
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020,37411,27569.3
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021,36126,28204.5
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022,42513,30775.3
USA,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2023,,29755.3
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2000,797718,97860
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2001,792604,98158.9
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2002,804519,98657
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2003,787818,99208.86
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2004,813339,99628.1
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2005,810726,99988.04
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2006,816195,100333.77
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2007,836634,100265.7
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2008,837804,100754.9
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2009,830210,101003.7
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2010,838931,101167.4
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2011,821405,101418.8
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2012,801129,101885
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2013,822004,99240.3
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2014,830584,98569.3
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2015,830288,98672
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2016,839918,99564.8
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2017,838861,99628.9
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2018,841329,99432.9
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2019,843330,98119
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2020,823150,96500.6
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2021,811551,95546.4
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2022,803669,94658.9
USA,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2023,,95772.9
USA,Total Non-Renewable,Other non-renewable energy,Non-renewable municipal waste,Non-renewable municipal waste,All types,2017,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2000,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2001,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2002,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2003,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2004,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2005,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2006,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2007,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2008,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2009,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2010,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2011,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2012,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2013,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2014,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2015,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2016,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2017,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2018,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2019,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2020,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2021,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,Combined Heat and Power (CHP),2022,,
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2000,15533,24250.165
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2001,14210,21665.365
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2002,15508,1932.655
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2003,15865,1904.73
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2004,15618,2044.08
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2005,13881,2307.315
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2006,14416,2222.92
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2007,13679,2280.85
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2008,13606,2324.85
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2009,13607,2342.8
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2010,14606,3878.6
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2011,16077,2447.55
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2012,15881,2665.45
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2013,15588,3232.25
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2014,15289,3708.55
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2015,15917,2585.5
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2016,15708,2538.2
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2017,15104,3296.9
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2018,15133,2564.65
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2019,15482,2604.95
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2020,15110,2585
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2021,14459,2576
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2022,13767,2403.5
USA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2023,,2403.5
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2000,26782,19522
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2001,26476,19666
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2002,24721,20373
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2003,27115,20522
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2004,26776,20764
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2005,25481,21347
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2006,25820,21461
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2007,25926,21886
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2008,25281,21858
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2009,22820,22160
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2010,24067,18511
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2011,22828,18589
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2012,19776,18665
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2013,19257,18686
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2014,20054,18776
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2015,20111,18866
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2016,22443,19027
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2017,22752,19059
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2018,21503,19079
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2019,20772,19025
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2020,21073,19227
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2021,20618,18767
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2022,22466,18811
USA,Total Non-Renewable,Pumped storage,Pumped storage,Pumped storage,On-grid electricity,2023,,18933.6
USA,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2012,4.16,1.4
USA,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2013,16.371,4.2
USA,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2014,24.436,4.2
USA,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2015,18.92,2.4
USA,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2016,6.807,
USA,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2017,2.863,1
USA,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2018,5.53,1
USA,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,On-grid electricity,2019,2.706,
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2013,26.019,8.9
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2014,51.779,8.9
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2015,32.681,2.5
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2016,14.181,2.5
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2017,14.314,2.5
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2018,13.826,2.5
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2019,13.532,2.5
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2020,13.62,2.5
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2021,13.408,2.5
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2022,12.797,2.5
USA,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2023,,2.5
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2000,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2001,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2002,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2003,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2004,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2005,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2006,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2007,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2008,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2009,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2010,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2011,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2012,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2013,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2014,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2015,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2016,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2017,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2018,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2019,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2020,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2021,,
USA,Total Renewable,Bioenergy,Biogas,Landfill gas,Combined Heat and Power (CHP),2022,,
